App Name,Package Name,Category,Sub-category,Description
SHAREit,com.lenovo.anyshare.gps,Files,Transfer,"b"" IMPORTANT NOTE: To connect to computer, your SHAREit for PC must be v4.0 or above. Please download the latest version from www.ushareit.comSHAREit, the world's fastest cross-platform file transfer tool.- Share all kinds of files whenever and wherever.- 200 times Bluetooth speed!- No USB! No data usage! No internet needed!- Supports Android, iOS (iPhone/iPad), Windows Phone, Windows, and Mac.- The choice of OVER 600 Million users from 200 countries.- Top 1 downloaded App on Google Play in 24 countries and regions.\xe3\x80\x90Main features\xe3\x80\x91\xe2\x96\xba No network restrictionShare files whenever & wherever!\xe2\x96\xba Fastest in the world 200 times faster than Bluetooth, the highest speed goes up to 20M/s.Only transfer original files, never losing quality. \xe2\x96\xba Cross-platform transferringCross-platform sharing for phones & computers & tablets, Android & iOS & Windows Phone & Windows XP/7/8.\xe2\x96\xba Transfer whatever you havePhotos, videos, music, installed apps and any other files.\xe2\x96\xba Simple and EasyFriends can transfer files to each other by entering Portal. So easy to share!\xe2\x96\xba Connect to PCTransfer files between phone and PCView your photos and play music on computers.Control PPT directly with your phone, making your presentation easier!\xe2\x96\xba Phone replicateReplicate contacts, SMS messages, MMS messages, music, videos, apps and other data from your old phone to the new one in just one click.\xe3\x80\x90LIKE US and STAY CONNECTED\xe3\x80\x91\xe2\x96\xbaFacebook  https://facebook.com/bestSHAREit\xe2\x96\xbaTwitter  https://twitter.com/bestSHAREit\xe2\x96\xbaVK  https://vk.com/bestSHAREit\xe2\x96\xbaInstagram  https://instagram.com/bestSHAREit  """
GoogleAllo,com.google.android.apps.fireball,Communication,,"b' Google Allo is a smart messaging app that helps you say more and do more. Express yourself better with stickers, Smart Reply and HUGE emojis & text. Allo brings you the Google Assistant.   Smart Reply  Respond to messages without typing a single word. Smart Reply learns over time and suggests responses to text and photos, in your style.   Ink  Get creative with the photos you send by doodling on them or adding text.   Stickers  Say it all with the perfect sticker. Stickers in Google Allo are designed by independent artists and studios from around the world.   SHOUT or whisper  No more typing in ALL CAPS to get your point across. Say it louder or quieter by changing the size of your text with a quick swipe.   Meet your Google Assistant  Google Allo brings you the Google Assistant. Find restaurants nearby, share videos and get answers, all from within your conversation with your friends. Add @google to your group conversation or chat one-on-one with your Assistant. It\xe2\x80\x99s your own personal Google, always ready to help.   Incognito mode  Send messages with end-to-end encryption, use private notifications to help keep your chats more discreet and control how long your messages stick around with expiring chats.  * Mobile carrier and ISP charges may apply ** Some features not available in all countries  '"
Skype,com.skype.raider,Communication,Video,"b' The Skype you know and love has an all-new design, supercharged with lots of new features and new ways to stay connected with the people you care about most.What can I do with Skype?\xe2\x80\xa2 Messaging made amazing: More than just text. Send photos, videos, voice messages, emoticons,\xc2\xa0Mojis\xc2\xa0and more.\xc2\xa0You can also respond to any message from your contacts with\xc2\xa0reactions.\xe2\x80\xa2 Supercharge your chats with Add-Ins**: No more switching back and forth between apps. Easily share content using Add-Ins without leaving Skype.\xe2\x80\xa2 Great for groups:\xc2\xa0Add your\xc2\xa0favourite\xc2\xa0people and start chatting. Use groups to plan together, play together, for staying in touch or just for hanging out.\xe2\x80\xa2 Call everyone - Skype, mobiles and landlines:\xc2\xa0Free*\xc2\xa0video and voice calls make it easier to stay connected with friends and family. You\xe2\x80\x99ll also enjoy\xc2\xa0low calling rates to mobiles and landlines worldwide with Skype.\xc2\xa0\xe2\x80\xa2 Never miss a moment with quick capture:\xc2\xa0Quickly swipe to capture photos and videos. Make them your own by adding emoticons, stickers and annotations.\xe2\x80\xa2 Share Highlights:\xc2\xa0Keep others updated with Highlights from your day. React to any Highlights with amazing emoticons or send a private message about that Highlight. Your Highlights only stay visible for 7 days to your followers.*Skype to Skype calls are free. Operator data charges may apply. We recommend using an unlimited data plan or\xc2\xa0WiFi\xc2\xa0connection.** Add-In availability will vary by country.We\xe2\x80\x99re gradually bringing the next generation of Skype to everyone. If you don\xe2\x80\x99t see the update yet, don\xe2\x80\x99t worry. It\xe2\x80\x99ll be coming very soon. Learn more about the new design and features in the Skype Blog: https://blogs.skype.com/news/2017/06/01/introducing-the-next-generation-of-skypeUpgrading to the new Skype may result in the deletion of content from older conversations.To save photos and videos that were previously sent or received in an older version of Skype, save that content to your camera roll/photo gallery before upgrading to the new Skype.  '"
Google PDF Viewer,com.google.android.apps.pdfviewer,Files,,"b"" PDF Viewing is now available directly in Google Drive. For environments where this cannot be deployed, Google PDF Viewer offers the same capabilities in a standalone app. View, print, search and copy text from pdf documents while you're on the go.Note 1: PDF Viewer is primarily meant for use in the context of the Android for Work Programme (http://android.com/work).Note 2: No icon is available in launcher, the app is launched when opening a pdf (from Downloads or another app).  """
WPS Mail,com.kingsoft.email,Communication,,"b' From the developers of WPS Office, the #1 Office Suite, WPS Mail is the newest app to handle All of Your Email Communication Needs. NO Ads or In App Purchases.  SYNC ALL OF YOUR EMAIL ACCOUNTS FROM ONE APPFULL DROPBOX INGEGRATION AND FILE MANAGEMENT SYSTEMCONVERSATION MODE TURNS YOUR EMAILS INTO A SEAMLESS MESSANGER EXPERIENCEEASILY SEND FILES UP TO 15MB WITHOUT CLOUD STORAGE LINKSWPS Mail syncs all of your email accounts into one app. Much more than your average email app, it is a new powerful communications tool that combines Email, Messaging, File Management and Contact Management into one lightweight app \xe2\x80\x93 allowing you to manage all of your email communication needs in one app.SUPPORTS: GMAIL, YAHOO MAIL, OUTLOOK, AOL, ICLOUD AND MORE! \xe2\x96\xbaWPS MAIL HIGHLIGTS:  \xe2\x80\xa2 Easy Set Up: - WPS Mail automatically selects the right protocols for your accounts.  \xe2\x80\xa2 Email Services Supported: - Gmail, Yahoo Mail, Outlook, AOL, iCloud, and more!- IMAP, POP3 and Microsoft Exchage\xc2\xae\xe2\x80\xa2 Enhanced Search: - Search mail with multiple filters including sender, receiver and subject.  - Plus Gmail online search. \xe2\x80\xa2 Conversation Mode: - Similar messages are automatically bundled together based on the subject. \xe2\x80\xa2 OAuth: - Login to your Gmail account via OAuth simple login.  \xe2\x80\xa2 File Management:  - Manage your files in one place- Customize the folder where downloaded attachments are stored in- Dropbox Integration.  \xe2\x96\xbaENHANCED FEATURES:   \xe2\x80\xa2 Smart notification: - Set WPS Mail to \xe2\x80\x9cDo Not Disturb\xe2\x80\x9d for quiet times - Customize notification sound and vibration alerts.  \xe2\x80\xa2 Rich text editing:  - Configure text styles, record audio and take pictures to attach directly to your email.  \xe2\x80\xa2 Smart Attachment Forwarding:  - WPS Mail will ask you to add attachments when you add a new contact in an email thread.  \xe2\x80\xa2 Gesture Support:  - Swipe to delete and flag mail.  - Gesture password for faster access to mail client.  \xe2\x80\xa2 Contact Management:  - Support for customization of your contact groups.  \xe2\x80\xa2 Personalized Email Categories:  - Customize your spam mail folder.  - Set VIP contacts and place unread VIP mail at the top of the inbox.  - Move mail to other folders.  \xe2\x80\xa2 Send Large Attachments:  - Send attachments up to 15MB without relying on cloud storage links. \xe2\x80\xa2 Additional Features  - Adjust email preview size.  - Set attachments to download automatically while using WIFI.   WPS Mail supports Android 4.1 and above  ==================================================LIKE us on FOLLOW us on VISIT us at Get SUPPORT CONTACT us at:  kingsoftmails@gmail.com  '"
MOJO Pizza,com.mojopizza,Food,,"b' You can order pizza online and get a doubly-loaded Pizza with toppings home delivered right to your doorstep.So what\xe2\x80\x99s special? - well it\xe2\x80\x99s quite simple really. WE. LOVE. PIZZAS.And what we love most about our Pizzas are the utterly delicious toppings.But we often wonder, why do most Pizzas today come with so less of toppings?Well, we don\xe2\x80\x99t really know. But we wanted more, so we did it ourselves.We at MOJO Pizza, offer a Pizza overloaded with toppings and overflowing with cheese.So why settle for less, when you can have more.Every time you order pizza online from Mojo, you\xe2\x80\x99ll get a truly magical Pizza, that\xe2\x80\x99s made from wholesome crust, hand rolled with love, overflowing with cheese and absolutely overloaded with toppings. And we would deliver that pipin\xe2\x80\x99 hot right to your doorstep.Buy Mojo pizza online to get the best pizza experience. At Mojo Pizza, we believe in putting all our energies into crafting one thing the best we possibly can. That\xe2\x80\x99s why all our Pizzas comes in big 10  inch size. The Mojo Pizza delivery app is fast, easy to use and convenient. Now, order pizza online anytime, anywhere. You can choose your MOJO from a collection of legend & Feast pizzas & exotic range of appetizers.Mojo Pizza makes online food order and food delivery an awesome experience. Order food online from our pizza delivery app with just a click. You can also through Zomato and FoodPanda and relish every bite of our appetising pizza range. What\xe2\x80\x99s more, Mojo Pizza also has late night delivery till 1 AM. Download the Mojo Pizza delivery app to order food online without any hassles.What makes Mojo Pizza the ultimate online ordering & pizza delivery destination:Order pizza online with just a few taps- With the Mojo Pizza delivery app, ordering your favourite pizza online is just a few clicks away. The easy-to-use app and clean UI makes ordering pizza online an awesome experience.Doubly-loaded toppings - Mojo Pizza promises to load each pizza with double the toppings and cheese. Just one try and you\xe2\x80\x99ll never order food online from anywhere else.One size, Done well - At Mojo Pizza, we offer only one size: a 10 inch pizza. We believe in putting all our energies in crafting the best pizza that we possibly can.On time, every time - Friends coming over? Don\xe2\x80\x99t worry. Simply order food online from the Mojo Pizza delivery app and awesome hot and loaded pizzas will be yours in a jiffy. Our pizza delivery timing is as awesome as our pizzas are.You can also order food online through Zomato and FoodPanda or simply download the Mojo Pizza delivery app for the best offers and coupon codes.At present, Mojo Pizza is delivering across selected locations in Mumbai, Pune and Bengaluru and takes online food order throughout the day. You can order food online and schedule for delivery at a later time as well.All you need to do to get a warm  pizza delivery at your doorstep is to order food online at Mojo Pizza and let us do the work. Be it at 1 in the afternoon or 1 in the night, Mojo Pizza is going to ensure that your pizza is delivered to you in time. What\xe2\x80\x99s more? You can take advantage of the amazing pizza delivery offers that Mojo Pizza comes up with on online food order. Online food order & Pizza delivery has been made easier with the Mojo Pizza delivery app. Just a few taps on the screen and your hot Pizza gets delivered. All you need to do is, sit back, relax and let Mojo Pizza take care of your pizza delivery.  '"
Evernote,com.evernote,Productivity,,"b' ""Use Evernote as the place you put everything\xe2\x80\xa6Don\xe2\x80\x99t ask yourself which device it\xe2\x80\x99s on\xe2\x80\x94it\xe2\x80\x99s in Evernote"" \xe2\x80\x93 The New York Times\xe2\x80\x9cWhen it comes to taking all manner of notes and getting work done, Evernote is an indispensable tool.\xe2\x80\x9d \xe2\x80\x93 PC Mag--*GET ORGANIZED*Evernote gives you the tools you need to keep your work effortlessly organized:\xe2\x80\xa2 Write, collect and capture ideas as searchable notes, notebooks, checklists and to-dos\xe2\x80\xa2 Take notes in a variety of formats, including: text, sketches, photos, audio, video, PDFs, web clippings and more\xe2\x80\xa2 Use camera capture to easily scan and comment on pieces of paper, including printed documents, business cards, handwriting, sketches\xe2\x80\xa2 Attach Microsoft Office docs, PDFs and photos\xe2\x80\xa2 Keep receipts, bills and invoices organized\xe2\x80\xa2 Use Evernote as a digital notepad and easy-to-format word processor for every thought as it comes*SYNC ANYWHERE*Evernote gives you the ability to sync and comment on content across all devices:\xe2\x80\xa2 Sync everything automatically across any computer, phone or tablet\xe2\x80\xa2 Start your task working on one device and continue on another without ever missing a beat*SHARE YOUR IDEAS*Evernote gives you the tools to share, discuss and collaborate productively with others:\xe2\x80\xa2 Create, share and discuss with the people who help get your work done, all in one app\xe2\x80\xa2 Search within pictures and make annotations on images to give quick feedback\xe2\x80\xa2 Get inspired and brainstorm creative ideas with your team by accessing and working collaboratively in the same documents*EVERNOTE IN EVERYDAY LIFE*\xe2\x80\xa2 Make personal checklists to keep your thoughts organized\xe2\x80\xa2 Set reminders to keep on top of activities and write to-do lists\xe2\x80\xa2 Gather, capture and store every thought you need to stay productive\xe2\x80\xa2 Plan events such as holidays, weddings or parties*EVERNOTE IN BUSINESS* \xe2\x80\xa2 Create agendas, write memos and craft presentations\xe2\x80\xa2 Annotate documents with comments and thoughts during meetings, then share annotations with colleagues\xe2\x80\xa2 Get your projects underway faster and maximise productivity by letting multiple participants access and work on different aspects alongside each other*EVERNOTE IN EDUCATION*\xe2\x80\xa2 Keep up with lecture notes so you don\xe2\x80\x99t miss a vital thought\xe2\x80\xa2 Clip and highlight articles from the web for academic research\xe2\x80\xa2 Access and highlight searchable documents\xe2\x80\xa2 Plan and collaborate for better academic group work\xe2\x80\xa2 Discuss and make annotations on notes and drafts*HOME SCREEN WIDGET*Access Evernote easier and faster using the Home screen widget:1\xc3\x971 widget - Need to quickly get to a note, capture something on camera, or search? Pull your favourite feature out of the app into a single icon to give you instant access4\xc3\x971 Action bar - Select from 11 different actions to create your personal shortcuts4\xc3\x972 List widget - Shortcuts to key actions of your choosing as well as a list of notes. The type of note is up to you. Designate a specific notebook, use recent notes to get back into what you were just editing, or populate it with your reminders to stay aware of your to-dosAlso available from Evernote:EVERNOTE PLUS - More space. More devices. More freedom.\xe2\x80\xa2 1 GB of new uploads each month\xe2\x80\xa2 Unlimited number of devices\xe2\x80\xa2 Access your notes and notebooks offline\xe2\x80\xa2 Save emails to Evernote$3.99 monthly, $34.99 annuallyEVERNOTE PREMIUM - The ultimate workspace.\xe2\x80\xa2 10 GB of new uploads each month\xe2\x80\xa2 Unlimited number of devices\xe2\x80\xa2 Access your notes and notebooks offline\xe2\x80\xa2 Save emails to Evernote\xe2\x80\xa2 Search inside Office docs and attachments\xe2\x80\xa2 Annotate PDFs\xe2\x80\xa2 Scan and digitize business cards\xe2\x80\xa2 Show notes as presentations, instantly$7.99 monthly, $69.99 annuallyPrice may vary by location. Subscriptions will be charged to your credit card through your Google account. Subscriptions will automatically renew unless cancelled at least 24 hours before the end of the current period. You will not be able to cancel the subscription once activated. Manage your subscriptions in Account Settings.  '"
Cal,com.anydo.cal,Productivity,,"b"" Calendar + Widget helps you accomplish moreCal Calendar + Widget proactively helps you gain focus without the extra effort.If any of these ring true, then Cal Calendar + Widget may be for you:- Some days feel like a black hole rather than a clear timeline- You want to balance business and personal life in one place- You\xe2\x80\x99re looking for harmony, and maybe even some playfulness in your day-to-dayCalendar + Widget FeaturesHere\xe2\x80\x99s the beauty - despite the long list below, there\xe2\x80\x99s no clutter or complexity. A smooth, intuitive interface lets you discover powerful functions the very moment you need them. \xe2\x96\xa0 Real time sync: Sync all of your current calendars including Google Calendar and Exchange \xe2\x96\xa0 Work/ life balance: Naturally merge business agendas and personal life planning in one place. Uniquely flexible to meet changing needs, your calendar will always feel tailored to you.\xe2\x96\xa0 HeadsUp for supercharged meetings (new feature): Keep meetings focused and capture the information that matters with this intelligent homescreen hub. Responsive pop up screens put all the tools of a productive meeting right at your fingertips.\xe2\x96\xa0 Android widget: Quickly review your day from the homescreen without having to open the app\xe2\x96\xa0 Voice entry and predictive text: Add events and details faster and easier. Simply speak or begin typing for surprisingly accurate auto-suggestions.\xe2\x96\xa0 Socially smart: The app predicts who you want to meet and even suggests nearby meeting places \xe2\x96\xa0 Focus finding: A visual timeline let\xe2\x80\x99s you find free moments to balance life, work, and \xe2\x80\x98me time\xe2\x80\x99 without letting anything slip through the cracks\xe2\x96\xa0 Celebrate: It's always someone's birthday. Write on a friend\xe2\x80\x99s Facebook wall, call, send them a message, or buy gifts through Amazon or Gifts.com\xe2\x96\xa0 Navigation: Get to meetings and events faster with built-in Google Maps, Waze, and Uber \xe2\x96\xa0 Task tracker: Supercharge your calendar and handle tasks in the same place by connecting Cal to Any.do - our award winning task app that weaves perfectly into your calendar.\xe2\x96\xa0 Visually refreshing - Rich graphics in 9 specially curated photo themes add harmony to the everyday\xe2\x96\xa0 Landscape and month view: Simply jump to a specific date from the month view and tilt your phone for a more open view of your calendar \xe2\x96\xa0 Reminders: Set up time and location based reminders, and recurring events  \xe2\x96\xa0 Actually look forward to checking your calendar :) This app, and it\xe2\x80\x99s sister task app Any.do, is our answer to \xe2\x80\x9cHow am I going to get everything done?!\xe2\x80\x9d Make every day a good day and enjoy conquering what\xe2\x80\x99s up ahead. We love to stay connected with our users! If you have any feedback, questions or concerns please visit: www.any.do/faq on follow us on Google+, Facebook and Twitter:https://plus.google.com/105428279419879152425/postshttp://www.facebook.com/Any.dohttp://twitter.com/anydo  """
Scanbot,net.doo.snap,Files,,"b' Scanbot is the best document to PDF scanner app and very easy to use. Already 7 million people on Android and iOS use Scanbot to scan their documents, receipts, whiteboards, QR codes or bar codes. The scanner app already won numerous awards and achieves a satisfaction rating of 98%.HOW IT WORKSSimply hold your smartphone or tablet over a document and Scanbot will automatically scan it. The scanner app will then crop the document and optimize the colors. Save your scan as PDF or JPG with one tap.FEATURE HIGHLIGHTS- PDF documents and JPG- QR Code scanning- Bar Code scanning- Multi-Page scans- Automatic upload- Editing and annotations- OCR text recognition- Full-text searchTHE BEST DOCUMENT SCANNERScanbot scans everything from business cards to whiteboards. When you scan a document, Scanbot makes hundreds of decisions to capture the document perfectly, crop the document, straighten it and apply the filter.SCAN QR CODESInstantly scan QR codes to save a business card, show a location, open a website or connect to a WiFi network.SUPPORTED CLOUD SERVICES- Dropbox- Google Drive- OneDrive- Box- Evernote- Shoeboxed- Yandex Disk- WebDAV- MagentaCloud- Amazon Cloud Drive- Slack- TodoistWORK WITH DOCUMENTSEasily work with your PDFs after you have scanned them. Highlight text, add notes, draw on the scanned pages or add your signature. Scanbot features all annotation tools you need to edit your scans. Existing scans can also be easily modified and corrected by moving, deleting or adding pages.EDUCATIONScanbot is the perfect tool to manage all your documents in school or university. Learn all about it here: https://scanbot.io/educationGET IN TOUCHScanbot has a 98% satisfaction rating for its support. We really love to hear from you. So if you have any questions or feedback please contact us directly in the app (Settings, scroll down and tap on Support) or via support@scanbot.io. We will get back to you as fast as possible.Plus us on Google+: https://plus.google.com/+ScanbotIoFollow us on Twitter: https://twitter.com/scanbotLike us on Facebook: https://www.facebook.com/scanbotappLearn more: https://scanbot.ioPERMISSIONSScanbot (optionally) uses permissions for your calendar and location to provide you with intelligent names like \xe2\x80\x9eScan from \xc2\xbbPlanning Meeting\xc2\xab at \xc2\xbbTech Advisory Partners Office\xc2\xab\xe2\x80\x9c.Please note that we need access to your contact details to restore previous purchases.More details on our FAQ page http://goo.gl/Z0xxRk and in our privacy policy https://scanbot.io/privacy.html.  '"
FAASOS,com.done.faasos,Food,,"b"" Hungry? Want food? Wait, how about exciting food that's also good for you? Faasos answers your hunger pangs with exciting, nourishing, and chef cooked delicacies that are exciting, sourced fresh and delivered right to your door step. Our simple, minimalistic UI enables you to choose delicious dishes- from Wraps, Royal Indian Meals, Salads, and Rice Feasts- all of which are made with the freshest of ingredients, are preservative free and 100% handcrafted.Faasos app lets you track your order real time with a dynamic delivery estimated time, basis where you are. If you are near a delivery centre why should you not get your order in 10 Minutes! Yup! No hungry surprises. Avail our simplified payment interface: Save a payment mode, use the wallet to preload money, and all the other usual payments modes that you are already aware of. Oh yeah, Cash on delivery too!Faasos lets you customize each order & tag your friends to each order, so the vegetarians get only vegetarian. Yes, we know how often that used to not happen. Trust us, this is a problem of the past. And of course, when that's done, you can make your friends useful to you- Introduce Faasos to your friends and earn Faasos credits!  """
